artists,name,ranking,year
The Black Eyed Peas,PUMP IT,89,2006
Eminem,WHEN I'M GONE,90,2006
Madonna,HUNG UP,91,2006
Three 6 Mafia Featuring Young Buck & Eightball & MJG,STAY FLY,92,2006
Keyshia Cole,LOVE,93,2006
Ne-Yo,WHEN YOU'RE MAD,94,2006
T.I.,WHY YOU WANNA,95,2006
Pink,STUPID GIRLS,96,2006
Gorillaz,FEEL GOOD INC,97,2006
T-Pain,I'M SPRUNG,98,2006
Taylor Hicks,DO I MAKE YOU PROUD,99,2006
Beyonce,IRREPLACEABLE,1,2007
Rihanna Featuring Jay-Z,UMBRELLA,2,2007
Gwen Stefani Featuring Akon,THE SWEET ESCAPE,3,2007
Fergie,BIG GIRLS DON'T CRY,4,2007
T-Pain Featuring Yung Joc,BUY U A DRANK (SHAWTY SNAPPIN'),5,2007
Carrie Underwood,BEFORE HE CHEATS,6,2007
Plain White T's,HEY THERE DELILAH,7,2007
Akon Featuring Snoop Dogg,I WANNA LOVE YOU,8,2007
Nelly Furtado,SAY IT RIGHT,9,2007
Fergie Featuring Ludacris,GLAMOROUS,10,2007
Akon,DON'T MATTER,11,2007
Avril Lavigne,GIRLFRIEND,12,2007
Maroon 5,MAKES ME WONDER,13,2007
Shop Boyz,PARTY LIKE A ROCKSTAR,14,2007
Akon Featuring Eminem,SMACK THAT,15,2007
Mims,THIS IS WHY I'M HOT,16,2007
Daughtry,IT'S NOT OVER,17,2007
Timbaland Featuring Keri Hilson,THE WAY I ARE,18,2007
Fergie,FERGALICIOUS,19,2007
Soulja Boy Tell'em,CRANK THAT (SOULJA BOY),20,2007
Timbaland Featuring Nelly Furtado & Justin Timberlake,GIVE IT TO ME,21,2007
Justin Timberlake,WHAT GOES AROUND...COMES AROUND,22,2007
Gym Class Heroes Featuring Patrick Stump,CUPID'S CHOKEHOLD/BREAKFAST IN AMERICA,23,2007
The Fray,HOW TO SAVE A LIFE,24,2007
Daughtry,HOME,25,2007
Justin Timberlake Featuring T.I.,MY LOVE,26,2007
Kanye West,STRONGER,27,2007
Jim Jones,WE FLY HIGH,28,2007
Pink,U + UR HAND,29,2007
Unk,WALK IT OUT,30,2007
Sean Kingston,BEAUTIFUL GIRLS,31,2007
Fall Out Boy,"THIS AIN'T A SCENE, IT'S AN ARMS RACE",32,2007
T-Pain Featuring Akon,BARTENDER,33,2007
Huey,"POP, LOCK & DROP IT",34,2007
Ludacris Featuring Mary J. Blige,RUNAWAY LOVE,35,2007
Nickelback,ROCKSTAR,36,2007
Fall Out Boy,THNKS FR TH MMRS,37,2007
Linkin Park,WHAT I'VE DONE,38,2007
Justin Timberlake,SUMMER LOVE,39,2007
Lloyd Featuring Lil' Wayne,YOU,40,2007
Elliott Yamin,WAIT FOR YOU,41,2007
Diddy Featuring Keyshia Cole,LAST NIGHT,42,2007
Fat Joe Featuring Lil Wayne,MAKE IT RAIN,43,2007
Fabolous Featuring Ne-Yo,MAKE ME BETTER,44,2007
Omarion,ICE BOX,45,2007
Hinder,LIPS OF AN ANGEL,46,2007
John Mayer,WAITING ON THE WORLD TO CHANGE,47,2007
Robin Thicke,LOST WITHOUT U,48,2007
R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),I'M A FLIRT,49,2007
Nickelback,IF EVERYONE CARED,50,2007
Lloyd,GET IT SHAWTY,51,2007
The Red Jumpsuit Apparatus,FACE DOWN,52,2007
Baby Boy Da Prince Featuring Lil Boosie,THE WAY I LIVE,53,2007
Bow Wow Featuring Chris Brown & Johnta Austin,SHORTIE LIKE MINE,54,2007
The All-American Rejects,IT ENDS TONIGHT,55,2007
Hurricane Chris,A BAY BAY,56,2007
Ne-Yo,BECAUSE OF YOU,57,2007
Bone Thugs-N-Harmony Featuring Akon,I TRIED,58,2007
My Chemical Romance,WELCOME TO THE BLACK PARADE,59,2007
Plies Featuring T-Pain,SHAWTY,60,2007
Snow Patrol,CHASING CARS,61,2007
Beyonce & Shakira,BEAUTIFUL LIAR,62,2007
Justin Timberlake,SEXYBACK,63,2007
Avril Lavigne,KEEP HOLDING ON,64,2007
Keyshia Cole Featuring Missy Elliott & Lil Kim,LET IT GO,65,2007
Timbaland Featuring OneRepublic,APOLOGIZE,66,2007
Colbie Caillat,BUBBLY,67,2007
Ciara,LIKE A BOY,68,2007
Pink,WHO KNEW,69,2007
Kelly Clarkson,NEVER AGAIN,70,2007
Ciara,PROMISE,71,2007
J. Holiday,BED,72,2007
Rich Boy Featuring Polow Da Don,THROW SOME D'S,73,2007
Amy Winehouse,REHAB,74,2007
T.I.,BIG THINGS POPPIN' (DO IT),75,2007
Alicia Keys,NO ONE,76,2007
Boys Like Girls,THE GREAT ESCAPE,77,2007
Unk,2 STEP,78,2007
Paula DeAnda Featuring The DEY,WALK AWAY (REMEMBER ME),79,2007
Young Jeezy Featuring R. Kelly,GO GETTA,80,2007
Hellogoodbye,HERE (IN YOUR ARMS),81,2007
Pretty Ricky,ON THE HOTLINE,82,2007
Gwen Stefani,WIND IT UP,83,2007
Baby Bash Featuring T-Pain,CYCLONE,84,2007
Rihanna & Sean Paul,BREAK IT OFF,85,2007
Lifehouse,FIRST TIME,86,2007
50 Cent Featuring Justin Timberlake & Timbaland,AYO TECHNOLOGY,87,2007
Bow Wow Featuring T-Pain & Johnta Austin,OUTTA MY SYSTEM,88,2007
Taylor Swift,TEARDROPS ON MY GUITAR,89,2007
Rihanna,SHUT UP AND DRIVE,90,2007
Red Hot Chili Peppers,SNOW ((HEY OH)),91,2007
Ludacris Featuring Pharrell,MONEY MAKER,92,2007
Chris Brown Featuring T-Pain,KISS KISS,93,2007
Nickelback,FAR AWAY,94,2007
Crime Mob Featuring Lil Scrappy,ROCK YO HIPS,95,2007
Justin Timberlake,LOVESTONED,96,2007
Hinder,BETTER THAN ME,97,2007
Finger Eleven,PARALYZER,98,2007
Snoop Dogg Featuring R. Kelly,THAT'S THAT,99,2007
Flo Rida Featuring T-Pain,LOW,1,2008
Leona Lewis,BLEEDING LOVE,2,2008
Alicia Keys,NO ONE,3,2008
Lil Wayne Featuring Static Major,LOLLIPOP,4,2008
Timbaland Featuring OneRepublic,APOLOGIZE,5,2008
Jordin Sparks Duet With Chris Brown,NO AIR,6,2008
Sara Bareilles,LOVE SONG,7,2008
Usher Featuring Young Jeezy,LOVE IN THIS CLUB,8,2008
Chris Brown,WITH YOU,9,2008
Chris Brown,FOREVER,10,2008
Ray J & Yung Berg,SEXY CAN I,11,2008
Rihanna,TAKE A BOW,12,2008
Coldplay,VIVA LA VIDA,13,2008
Katy Perry,I KISSED A GIRL,14,2008
T.I.,WHATEVER YOU LIKE,15,2008
Rihanna,DISTURBIA,16,2008
Rihanna,DON'T STOP THE MUSIC,17,2008
Natasha Bedingfield,POCKETFUL OF SUNSHINE,18,2008
Chris Brown Featuring T-Pain,KISS KISS,19,2008
Ne-Yo,CLOSER,20,2008
Colbie Caillat,BUBBLY,21,2008
Mariah Carey,TOUCH MY BODY,22,2008
Madonna Featuring Justin Timberlake,4 MINUTES,23,2008
Pink,SO WHAT,24,2008
Finger Eleven,PARALYZER,25,2008
Fergie,CLUMSY,26,2008
Jason Mraz,I'M YOURS,27,2008
Jesse McCartney,LEAVIN',28,2008
Kardinal Offishall Featuring Akon,DANGEROUS,29,2008
Jordin Sparks,TATTOO,30,2008
Miley Cyrus,SEE YOU AGAIN,31,2008
Metro Station,SHAKE IT,32,2008
OneRepublic,STOP AND STARE,33,2008
Sean Kingston,TAKE YOU THERE,34,2008
M.I.A.,PAPER PLANES,35,2008
Katy Perry,HOT N COLD,36,2008
T.I. Featuring Rihanna,LIVE YOUR LIFE,37,2008
Plies Featuring Ne-Yo,BUST IT BABY PART 2,38,2008
Estelle Featuring Kanye West,AMERICAN BOY,39,2008
Lil Wayne Featuring T-Pain,GOT MONEY,40,2008
Taylor Swift,OUR SONG,41,2008
Danity Kane,DAMAGED,42,2008
Lil Wayne,A MILLI,43,2008
Buckcherry,SORRY,44,2008
Webbie Featuring Lil' Phat & Lil' Boosie,INDEPENDENT,45,2008
T-Pain Featuring Lil Wayne,CAN'T BELIEVE IT,46,2008
Alicia Keys,LIKE YOU'LL NEVER SEE ME AGAIN,47,2008
Taylor Swift,TEARDROPS ON MY GUITAR,48,2008
The Pussycat Dolls,WHEN I GROW UP,49,2008
Snoop Dogg,SENSUAL SEDUCTION,50,2008
Colby O'Donis Featuring Akon,WHAT YOU GOT,51,2008
3 Doors Down,IT'S NOT MY TIME,52,2008
Leona Lewis,BETTER IN TIME,53,2008
Soulja Boy Tell'em,CRANK THAT (SOULJA BOY),54,2008
Linkin Park,SHADOW OF THE DAY,55,2008
"Wyclef Jean Featuring Akon, Lil Wayne & Niia",SWEETEST GIRL (DOLLAR BILL),56,2008
Ne-Yo,MISS INDEPENDENT,57,2008
Secondhand Serenade,FALL FOR YOU,58,2008
Flo Rida Featuring will.i.am,IN THE AYER,59,2008
John Mayer,SAY,60,2008
Jordin Sparks,ONE STEP AT A TIME,61,2008
Rihanna Featuring Ne-Yo,HATE THAT I LOVE YOU,62,2008
Lupe Fiasco Featuring Matthew Santos,SUPERSTAR,63,2008
J. Holiday,SUFFOCATE,64,2008
Kevin Rudolf Featuring Lil Wayne,LET IT ROCK,65,2008
David Banner Featuring Chris Brown,GET LIKE ME,66,2008
Colbie Caillat,REALIZE,67,2008
Young Jeezy Featuring Kanye West,PUT ON,68,2008
David Cook,THE TIME OF MY LIFE,69,2008
"Three 6 Mafia Featuring Project Pat, Young D & Superpower",LOLLI LOLLI (POP THAT BODY),70,2008
Baby Bash Featuring T-Pain,CYCLONE,71,2008
Natasha Bedingfield Featuring Sean Kingston,LOVE LIKE THIS,72,2008
Jonas Brothers,BURNIN' UP,73,2008
Kanye West,LOVE LOCKDOWN,74,2008
The-Dream,I LUV YOUR GIRL,75,2008
David Archuleta,CRUSH,76,2008
Plies Featuring Akon,HYPNOTIZED,77,2008
Fergie,BIG GIRLS DON'T CRY,78,2008
Kanye West Featuring T-Pain,GOOD LIFE,79,2008
Britney Spears,WOMANIZER,80,2008
Taylor Swift,LOVE STORY,81,2008
Mary J. Blige,JUST FINE,82,2008
Britney Spears,PIECE OF ME,83,2008
Rick Ross Featuring T-Pain,THE BOSS,84,2008
Kid Rock,ALL SUMMER LONG,85,2008
Trey Songz,CAN'T HELP BUT WAIT,86,2008
Gavin DeGraw,IN LOVE WITH A GIRL,87,2008
The Game Featuring Lil Wayne,MY LIFE,88,2008
Keyshia Cole,I REMEMBER,89,2008
Kanye West Featuring Dwele,FLASHING LIGHTS,90,2008
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,MRS. OFFICER,91,2008
Miley Cyrus,7 THINGS,92,2008
Trace Adkins,YOU'RE GONNA MISS THIS,93,2008
Gavin Rossdale,LOVE REMAINS THE SAME,94,2008
Daughtry,FEELS LIKE TONIGHT,95,2008
Timbaland Featuring Keri Hilson,THE WAY I ARE,96,2008
Saving Abel,ADDICTED,97,2008
Santana Featuring Chad Kroeger,INTO THE NIGHT,98,2008
Keyshia Cole,HEAVEN SENT,99,2008
The Black Eyed Peas,BOOM BOOM POW,1,2009
Lady Gaga,POKER FACE,2,2009
Lady Gaga Featuring Colby O'Donis,JUST DANCE,3,2009
The Black Eyed Peas,I GOTTA FEELING,4,2009
Taylor Swift,LOVE STORY,5,2009
Flo Rida,RIGHT ROUND,6,2009
Jason Mraz,I'M YOURS,7,2009
Beyonce,SINGLE LADIES (PUT A RING ON IT),8,2009
Kanye West,HEARTLESS,9,2009
The All-American Rejects,GIVES YOU HELL,10,2009
Taylor Swift,YOU BELONG WITH ME,11,2009
T.I. Featuring Justin Timberlake,DEAD AND GONE,12,2009
The Fray,YOU FOUND ME,13,2009
Kings Of Leon,USE SOMEBODY,14,2009
Keri Hilson Featuring Kanye West & Ne-Yo,KNOCK YOU DOWN,15,2009
Jamie Foxx Featuring T-Pain,BLAME IT,16,2009
Pitbull,I KNOW YOU WANT ME (CALLE OCHO),17,2009
T.I. Featuring Rihanna,LIVE YOUR LIFE,18,2009
Soulja Boy Tell 'em Featuring Sammie,KISS ME THRU THE PHONE,19,2009
Jay Sean Featuring Lil Wayne,DOWN,20,2009
Miley Cyrus,THE CLIMB,21,2009
Drake,BEST I EVER HAD,22,2009
Kelly Clarkson,MY LIFE WOULD SUCK WITHOUT YOU,23,2009
Beyonce,HALO,24,2009
Katy Perry,HOT N COLD,25,2009
Shinedown,SECOND CHANCE,26,2009
Britney Spears,CIRCUS,27,2009
Kid Cudi,DAY 'N' NITE,28,2009
Miley Cyrus,PARTY IN THE U.S.A.,29,2009
3OH!3,DON'T TRUST ME,30,2009
"Jay-Z, Rihanna & Kanye West",RUN THIS TOWN,31,2009
Kevin Rudolf Featuring Lil Wayne,LET IT ROCK,32,2009
Sean Kingston,FIRE BURNING,33,2009
Jason DeRulo,WHATCHA SAY,34,2009
Lady Gaga,LOVEGAME,35,2009
Katy Perry,WAKING UP IN VEGAS,36,2009
Jeremih,BIRTHDAY SEX,37,2009
Pink,SOBER,38,2009
Britney Spears,WOMANIZER,39,2009
T.I.,WHATEVER YOU LIKE,40,2009
Mariah Carey,OBSESSED,41,2009
Ne-Yo,MAD,42,2009
Cobra Starship Featuring Leighton Meester,GOOD GIRLS GO BAD,43,2009
Kanye West,LOVE LOCKDOWN,44,2009
Pink,SO WHAT,45,2009
Pitbull,HOTEL ROOM SERVICE,46,2009
"Eminem, Dr. Dre & 50 Cent",CRACK A BOTTLE,47,2009
Beyonce,IF I WERE A BOY,48,2009
Keri Hilson Featuring Lil Wayne,TURNIN ME ON,49,2009
The Pussycat Dolls,I HATE THIS PART,50,2009
Nickelback,GOTTA BE SOMEBODY,51,2009
Pink,PLEASE DON'T LEAVE ME,52,2009
Lady Gaga,PAPARAZZI,53,2009
Akon Featuring Colby O'Donis & Kardinal Offishall,BEAUTIFUL,54,2009
Coldplay,VIVA LA VIDA,55,2009
Akon,RIGHT NOW (NA NA NA),56,2009
Jordin Sparks,BATTLEFIELD,57,2009
Flo Rida Featuring Wynter,SUGAR,58,2009
Ne-Yo,MISS INDEPENDENT,59,2009
Owl City,FIREFLIES,60,2009
Linkin Park,NEW DIVIDE,61,2009
Jay-Z + Alicia Keys,EMPIRE STATE OF MIND,62,2009
Daughtry,NO SURPRISE,63,2009
Shakira,SHE WOLF,64,2009
Mario Featuring Gucci Mane & Sean Garrett,BREAK UP,65,2009
Beyonce,SWEET DREAMS,66,2009
Young Money,EVERY GIRL,67,2009
Colbie Caillat,FALLIN' FOR YOU,68,2009
The Veronicas,UNTOUCHED,69,2009
Nickelback,IF TODAY WAS YOUR LAST DAY,70,2009
Fabolous Featuring The-Dream,THROW IT IN THE BAG,71,2009
Boys Like Girls,LOVE DRUNK,72,2009
Asher Roth,I LOVE COLLEGE,73,2009
Britney Spears,IF U SEEK AMY,74,2009
Jason Aldean,BIG GREEN TRACTOR,75,2009
Taylor Swift,WHITE HORSE,76,2009
Rihanna,DISTURBIA,77,2009
Green Day,21 GUNS,78,2009
Soulja Boy Tell'em,TURN MY SWAG ON,79,2009
The-Dream,ROCKIN' THAT THANG,80,2009
Zac Brown Band,CHICKEN FRIED,81,2009
Beyonce,DIVA,82,2009
Iyaz,REPLAY,83,2009
Brad Paisley,THEN,84,2009
Rob Thomas,HER DIAMONDS,85,2009
Jesse McCartney Featuring Ludacris,HOW DO YOU SLEEP?,86,2009
Britney Spears,3,87,2009
"Drake Featuring Kanye West, Lil Wayne & Eminem",FOREVER,88,2009
Justin Bieber,ONE TIME,89,2009
Lady Antebellum,I RUN TO YOU,90,2009
Kelly Clarkson,I DO NOT HOOK UP,91,2009
John Legend Featuring Andre 3000,GREEN LIGHT,92,2009
Billy Currington,PEOPLE ARE CRAZY,93,2009
Zac Brown Band,WHATEVER IT IS,94,2009
Kelly Clarkson,ALREADY GONE,95,2009
Kristinia DeBarge,GOODBYE,96,2009
Michael Franti & Spearhead Featuring Cherine Anderson,SAY HEY (I LOVE YOU),97,2009
Jim Jones & Ron Browz Featuring Juelz Santana,POP CHAMPAGNE,98,2009
Maxwell,PRETTY WINGS,99,2009
Ke$ha,TIK TOK,1,2010
Lady Antebellum,NEED YOU NOW,2,2010
Train,"HEY, SOUL SISTER",3,2010
Katy Perry Featuring Snoop Dogg,CALIFORNIA GURLS,4,2010
Usher Featuring will.i.am,OMG,5,2010
B.o.B Featuring Hayley Williams,AIRPLANES,6,2010
Eminem Featuring Rihanna,LOVE THE WAY YOU LIE,7,2010
Lady Gaga,BAD ROMANCE,8,2010
Taio Cruz,DYNAMITE,9,2010
Taio Cruz Featuring Ludacris,BREAK YOUR HEART,10,2010
B.o.B Featuring Bruno Mars,NOTHIN' ON YOU,11,2010
Enrique Iglesias Featuring Pitbull,I LIKE IT,12,2010
Young Money Featuring Lloyd,BEDROCK,13,2010
Jason Derulo,IN MY HEAD,14,2010
Rihanna,RUDE BOY,15,2010
Lady Gaga Featuring Beyonce,TELEPHONE,16,2010
Katy Perry,TEENAGE DREAM,17,2010
Bruno Mars,JUST THE WAY YOU ARE,18,2010
Mike Posner,COOLER THAN ME,19,2010
The Black Eyed Peas,IMMA BE,20,2010
Jay-Z + Alicia Keys,EMPIRE STATE OF MIND,21,2010
Usher Featuring Pitbull,DJ GOT US FALLIN' IN LOVE,22,2010
Travie McCoy Featuring Bruno Mars,BILLIONAIRE,23,2010
Eminem,NOT AFRAID,24,2010
Iyaz,REPLAY,25,2010
David Guetta Featuring Akon,SEXY CHICK,26,2010
The Script,BREAKEVEN,27,2010
Ke$ha,YOUR LOVE IS MY DRUG,28,2010
The Black Eyed Peas,I GOTTA FEELING,29,2010
Owl City,FIREFLIES,30,2010
Trey Songz Featuring Fabolous,SAY AAH,31,2010
Drake,FIND YOUR LOVE,32,2010
Lady Gaga,ALEJANDRO,33,2010
Jason Derulo,RIDIN' SOLO,34,2010
Nelly,JUST A DREAM,35,2010
Ludacris,HOW LOW,36,2010
Far*East Movement Featuring Cataracs & Dev,LIKE A G6,37,2010
Timbaland Featuring Justin Timberlake,CARRY OUT,38,2010
Michael Buble,HAVEN'T MET YOU YET,39,2010
Flo Rida Featuring David Guetta,CLUB CAN'T HANDLE ME,40,2010
Jay Sean Featuring Lil Wayne,DOWN,41,2010
La Roux,BULLETPROOF,42,2010
Jason Derulo,WHATCHA SAY,43,2010
Justin Bieber Featuring Ludacris,BABY,44,2010
Adam Lambert,WHATAYA WANT FROM ME,45,2010
Taylor Swift,MINE,46,2010
Rihanna,ONLY GIRL (IN THE WORLD),47,2010
Kris Allen,LIVE LIKE WE'RE DYING,48,2010
Rihanna Featuring Jeezy,HARD,49,2010
Jay-Z + Mr. Hudson,YOUNG FOREVER,50,2010
Ke$ha Featuring 3OH!3,BLAH BLAH BLAH,51,2010
Trey Songz Featuring Nicki Minaj,BOTTOMS UP,52,2010
Jay Sean Featuring Sean Paul & Lil Jon,DO YOU REMEMBER,53,2010
OneRepublic,ALL THE RIGHT MOVES,54,2010
Orianthi,ACCORDING TO YOU,55,2010
Ludacris Featuring Nicki Minaj,MY CHICK BAD,56,2010
Taylor Swift,YOU BELONG WITH ME,57,2010
The Black Eyed Peas,MEET ME HALFWAY,58,2010
Ke$ha,TAKE IT OFF,59,2010
Drake,OVER,60,2010
Neon Trees,ANIMAL,61,2010
Maroon 5,MISERY,62,2010
B.o.B Featuring Rivers Cuomo,MAGIC,63,2010
Lady Gaga,PAPARAZZI,64,2010
New Boyz Featuring Ray J,TIE ME DOWN,65,2010
Nicki Minaj,YOUR LOVE,66,2010
Miley Cyrus,PARTY IN THE U.S.A.,67,2010
Chris Brown Featuring Tyga & Kevin McCall,DEUCES,68,2010
Britney Spears,3,69,2010
Shontelle,IMPOSSIBLE,70,2010
"Drake Featuring Kanye West, Lil Wayne & Eminem",FOREVER,71,2010
Boys Like Girls Featuring Taylor Swift,TWO IS BETTER THAN ONE,72,2010
3OH!3 Featuring Ke$ha,MY FIRST KISS,73,2010
Kelly Clarkson,ALREADY GONE,74,2010
The Black Eyed Peas,ROCK THAT BODY,75,2010
OneRepublic,SECRETS,76,2010
Selena Gomez & The Scene,NATURALLY,77,2010
Alicia Keys,UN-THINKABLE (I'M READY),78,2010
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",ALL I DO IS WIN,79,2010
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",I MADE IT (CASH MONEY HEROES),80,2010
Sugarland,STUCK LIKE GLUE,81,2010
Usher Featuring Plies,HEY DADDY (DADDY'S HOME),82,2010
Usher,THERE GOES MY BABY,83,2010
Taylor Swift,TODAY WAS A FAIRYTALE,84,2010
Timbaland Featuring Drake,SAY SOMETHING,85,2010
Beyonce,SWEET DREAMS,86,2010
Kings Of Leon,USE SOMEBODY,87,2010
Carrie Underwood,UNDO IT,88,2010
Sean Kingston & Justin Bieber,EENIE MEENIE,89,2010
Lil Wayne Featuring Drake,RIGHT ABOVE IT,90,2010
Miranda Lambert,THE HOUSE THAT BUILT ME,91,2010
The Band Perry,IF I DIE YOUNG,92,2010
Paramore,THE ONLY EXCEPTION,93,2010
Lady Antebellum,AMERICAN HONEY,94,2010
Sara Bareilles,KING OF ANYTHING,95,2010
Daughtry,LIFE AFTER YOU,96,2010
Uncle Kracker,SMILE,97,2010
Cali Swag District,TEACH ME HOW TO DOUGIE,98,2010
Alicia Keys,TRY SLEEPING WITH A BROKEN HEART,99,2010
Adele,ROLLING IN THE DEEP,1,2011
LMFAO Featuring Lauren Bennett & GoonRock,PARTY ROCK ANTHEM,2,2011
Katy Perry,FIREWORK,3,2011
Katy Perry Featuring Kanye West,E.T.,4,2011
"""Pitbull Featuring Ne-Yo, Afrojack & Nayer""",GIVE ME EVERYTHING,5,2011
Bruno Mars,GRENADE,6,2011
Cee Lo Green,F**K YOU (FORGET YOU),7,2011
Nicki Minaj,SUPER BASS,8,2011
Maroon 5 Featuring Christina Aguilera,MOVES LIKE JAGGER,9,2011
The Black Eyed Peas,JUST CAN'T GET ENOUGH,10,2011
Jennifer Lopez Featuring Pitbull,ON THE FLOOR,11,2011
Rihanna,S&M,12,2011
Foster The People,PUMPED UP KICKS,13,2011
Katy Perry,LAST FRIDAY NIGHT (T.G.I.F.),14,2011
Bruno Mars,JUST THE WAY YOU ARE,15,2011
Enrique Iglesias Featuring Ludacris & DJ Frank E,TONIGHT (I'M LOVIN' YOU),16,2011
P!nk,RAISE YOUR GLASS,17,2011
Lady Gaga,BORN THIS WAY,18,2011
P!nk,F**KIN' PERFECT,19,2011
Rihanna Featuring Drake,WHAT'S MY NAME?,20,2011
Chris Brown Featuring Lil Wayne & Busta Rhymes,LOOK AT ME NOW,21,2011
Jeremih Featuring 50 Cent,DOWN ON ME,22,2011
