artists,name,ranking,year
Eminem Featuring Rihanna,LOVE THE WAY YOU LIE,7,2010
Jay-Z + Alicia Keys,EMPIRE STATE OF MIND,8,2010
Nicki Minaj,YOUR LOVE,9,2010
Drake Featuring Lil Wayne,MISS ME,10,2010
B.o.B Featuring Hayley Williams,AIRPLANES,11,2010
Chris Brown Featuring Lil Wayne & Busta Rhymes,LOOK AT ME NOW,1,2011
Shop Boyz,PARTY LIKE A ROCKSTAR,4,2007
Unk,WALK IT OUT,5,2007
Soulja Boy Tell'em,CRANK THAT (SOULJA BOY),6,2007
Jim Jones,WE FLY HIGH,7,2007
Ludacris Featuring Mary J. Blige,RUNAWAY LOVE,8,2007
R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),I'M A FLIRT,9,2007
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,MRS. OFFICER,12,2008
2 Pistols Featuring T-Pain & Tay Dizm,SHE GOT IT,13,2008
Kardinal Offishall Featuring Akon,DANGEROUS,14,2008
Kanye West Featuring Dwele,FLASHING LIGHTS,15,2008
Shawty Lo,DEY KNOW,16,2008
Plies Featuring Akon,HYPNOTIZED,17,2008
Playaz Circle Featuring Lil Wayne,DUFFLE BAG BOY,18,2008
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,WHITE WALLS,13,2014
ScHoolboy Q Featuring BJ The Chicago Kid,STUDIO,14,2014
Lil Wayne Featuring Drake,BELIEVE ME,15,2014
Drake,0 TO 100 / THE CATCH UP,16,2014
Nicki Minaj,PILLS N POTIONS,17,2014
Wiz Khalifa,WE DEM BOYZ,18,2014
T.I. Featuring Justin Timberlake,DEAD AND GONE,2,2009
T.I. Featuring Rihanna,LIVE YOUR LIFE,3,2009
Kanye West,HEARTLESS,4,2009
Young Money,EVERY GIRL,5,2009
Soulja Boy Tell 'em Featuring Sammie,KISS ME THRU THE PHONE,6,2009
T.I.,WHATEVER YOU LIKE,7,2009
Kirko Bangz,DRANK IN MY CUP,4,2012
Drake Featuring Rihanna,TAKE CARE,5,2012
2 Chainz Featuring Drake,NO LIE,6,2012
Drake Featuring Nicki Minaj,MAKE ME PROUD,7,2012
Ca$h Out,CASHIN' OUT,8,2012
Wiz Khalifa Featuring Charlie Puth,SEE YOU AGAIN,1,2015
Desiigner,PANDA,1,2016
"Kanye West, Jay-Z, Big Sean",CLIQUE,14,2013
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",NO NEW FRIENDS (SFTB REMIX),15,2013
Lil Wayne Featuring 2 Chainz,RICH AS F**K,16,2013
Trinidad James,ALL GOLD EVERYTHING,17,2013
2 Chainz,I'M DIFFERENT,18,2013
T.I. Featuring Lil Wayne,BALL,19,2013
Lil Wayne Featuring Detail,NO WORRIES,20,2013
"French Montana Featuring Rick Ross, Drake, Lil Wayne",POP THAT,21,2013
Juicy J Featuring Lil Wayne & 2 Chainz,BANDZ A MAKE HER DANCE,22,2013
Future,NEVA END,23,2013
"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",TAPOUT,24,2013
Ace Hood Featuring Future & Rick Ross,BUGATTI,25,2013
Birdman Featuring Lil Wayne & Drake,MONEY TO BLOW,12,2010
New Boyz Featuring Ray J,TIE ME DOWN,13,2010
Young Jeezy Featuring Plies,LOSE MY MIND,14,2010
"Drake Featuring Kanye West, Lil Wayne & Eminem",FOREVER,15,2010
Drake Featuring T.I. & Swizz Beatz,FANCY,16,2010
Young Money Featuring Gucci Mane,STEADY MOBBIN',17,2010
T.I. Featuring Keri Hilson,GOT YOUR BACK,18,2010
Cali Swag District,TEACH ME HOW TO DOUGIE,19,2010
Rick Ross Featuring Styles P,B.M.F. (BLOWIN' MONEY FAST),20,2010
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",ALL I DO IS WIN,21,2010
Snoop Dogg,I WANNA ROCK,22,2010
Snoop Dogg Featuring The-Dream,GANGSTA LUV,23,2010
"""DJ Khaled Featuring Drake, Rick Ross & Lil Wayne""",I'M ON ONE,2,2011
Waka Flocka Flame Featuring Roscoe Dash & Wale,NO HANDS,3,2011
Nicki Minaj Featuring Drake,MOMENT 4 LIFE,4,2011
Big Sean Featuring Chris Brown,MY LAST,5,2011
Kanye West,ALL OF THE LIGHTS,6,2011
Lil Wayne Featuring Cory Gunz,6 FOOT 7 FOOT,7,2011
"""Pitbull Featuring Ne-Yo, Afrojack & Nayer""",GIVE ME EVERYTHING,8,2011
Nicki Minaj,SUPER BASS,9,2011
Rick Ross Featuring Drake & Chrisette Michele,ASTON MARTIN MUSIC,10,2011
Bow Wow Featuring Chris Brown & Johnta Austin,SHORTIE LIKE MINE,10,2007
Fat Joe Featuring Lil Wayne,MAKE IT RAIN,11,2007
Huey,"POP, LOCK & DROP IT",12,2007
Crime Mob Featuring Lil Scrappy,ROCK YO HIPS,13,2007
Rich Boy Featuring Polow Da Don,THROW SOME D'S,14,2007
Hurricane Chris,A BAY BAY,15,2007
T.I.,BIG THINGS POPPIN' (DO IT),16,2007
Bow Wow Featuring T-Pain & Johnta Austin,OUTTA MY SYSTEM,17,2007
Unk,2 STEP,18,2007
Lil Boosie Featuring Foxx & Webbie,WIPE ME DOWN,19,2007
Snoop Dogg Featuring R. Kelly,THAT'S THAT,20,2007
Yung Berg Featuring Junior,SEXY LADY,21,2007
Kanye West,STRONGER,22,2007
Fat Joe Featuring J. Holiday,I WON'T TELL,19,2008
Yung Berg Featuring Casha,THE BUSINESS,20,2008
T.I. Featuring Rihanna,LIVE YOUR LIFE,21,2008
Rick Ross Featuring Nelly & Avery Storm,HERE I AM,22,2008
The Game Featuring Lil Wayne,MY LIFE,23,2008
Lupe Fiasco Featuring Matthew Santos,SUPERSTAR,24,2008
"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",I'M SO HOOD,25,2008
Pitbull Featuring John Ryan,FIREBALL,19,2014
Eminem,RAP GOD,20,2014
Rae Sremmurd,NO FLEX ZONE,21,2014
Young Money Featuring Drake,TROPHIES,22,2014
YG Featuring Drake,WHO DO YOU LOVE?,23,2014
Drake Featuring 2 Chainz & Big Sean,ALL ME,24,2014
Pitbull Featuring G.R.L.,WILD WILD LOVE,25,2014
"Future Featuring Pharrell, Pusha T & Casino",MOVE THAT DOH,26,2014
T.I. Featuring Young Thug,ABOUT THE MONEY,27,2014
Kid Ink Featuring Chris Brown,MAIN CHICK,28,2014
Iggy Azalea,WORK,29,2014
KCamp Featuring 2 Chainz,CUT HER OFF,30,2014
Young Thug,STONER,31,2014
Big Sean Featuring E-40,I DON'T F**K WITH YOU,32,2014
Rae Sremmurd,NO TYPE,33,2014
"Jay-Z, Rihanna & Kanye West",RUN THIS TOWN,8,2009
Fabolous Featuring The-Dream,THROW IT IN THE BAG,9,2009
Drake Featuring Trey Songz & Lil Wayne,SUCCESSFUL,10,2009
The Black Eyed Peas,BOOM BOOM POW,11,2009
Jim Jones & Ron Browz Featuring Juelz Santana,POP CHAMPAGNE,12,2009
Twista Featuring Erika Shevon,WETTER (CALLING YOU DADDY),13,2009
Dorrough,ICE CREAM PAINT JOB,14,2009
Yung L.A. Featuring Young Dro & T.I.,AIN'T I,15,2009
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,MRS. OFFICER,16,2009
Ludacris Co-Starring T-Pain,ONE MORE DRINK,17,2009
Pitbull,I KNOW YOU WANT ME (CALLE OCHO),18,2009
Wale Featuring Miguel,LOTUS FLOWER BOMB,9,2012
Young Jeezy Featuring Ne-Yo,LEAVE YOU ALONE,10,2012
Big Sean Featuring Nicki Minaj,DANCE (A$$),11,2012
Tyga,RACK CITY,12,2012
J. Cole,WORK OUT,13,2012
LoveRance Featuring IamSu & Skipper or 50 Cent,UP!,14,2012
J. Cole Featuring Trey Songz,CAN'T GET ENOUGH,15,2012
J. Cole Featuring Missy Elliott,NOBODY'S PERFECT,16,2012
Fetty Wap,TRAP QUEEN,2,2015
Silento,WATCH ME,3,2015
Fetty Wap Featuring Remy Boyz,679,4,2015
Drake,HOTLINE BLING,5,2015
Pitbull & Ne-Yo,TIME OF OUR LIVES,6,2015
Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,7,2015
Fetty Wap Featuring Monty,MY WAY,8,2015
T-Wayne,NASTY FREESTYLE,9,2015
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",ONLY,10,2015
Big Sean Featuring E-40,I DON'T F**K WITH YOU,11,2015
Rich Homie Quan,FLEX (OOH OOH OOH),12,2015
G-Eazy x Bebe Rexha,"ME, MYSELF & I",2,2016
Drake,HOTLINE BLING,3,2016
Drake Featuring Rihanna,TOO GOOD,4,2016
D.R.A.M. Featuring Lil Yachty,BROCCOLI,5,2016
Drake & Future,JUMPMAN,6,2016
Kent Jones,DON'T MIND,7,2016
Future Featuring The Weeknd,LOW LIFE,8,2016
DJ Khaled Featuring Drake,FOR FREE,9,2016
Kevin Gates,2 PHONES,10,2016
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",SUCKER FOR PAIN,11,2016
Ludacris Featuring Trey Songz,SEX ROOM,24,2010
Lil Wayne Featuring Drake,RIGHT ABOVE IT,25,2010
Wiz Khalifa,BLACK AND YELLOW,11,2011
LMFAO Featuring Lauren Bennett & GoonRock,PARTY ROCK ANTHEM,12,2011
Wiz Khalifa,ROLL UP,13,2011
Drake,HEADLINES,14,2011
Lupe Fiasco,THE SHOW GOES ON,15,2011
Lupe Fiasco Featuring Trey Songz,OUT OF MY HEAD,16,2011
Fabolous,YOU BE KILLIN EM,17,2011
Lil Wayne Featuring Drake,SHE WILL,18,2011
Big Sean Featuring Kanye West & Roscoe Dash,MARVIN & CHARDONNAY,19,2011
Lil Wayne Featuring Drake,RIGHT ABOVE IT,20,2011
Jay Z Kanye West Featuring Otis Redding,OTIS,21,2011
Bad Meets Evil Featuring Bruno Mars,LIGHTERS,22,2011
Young Jeezy Featuring R. Kelly,GO GETTA,23,2007
Kanye West Featuring T-Pain,GOOD LIFE,24,2007
Gorilla Zoe,HOOD FIGGA,25,2007
ScHoolboy Q,MAN OF THE YEAR,34,2014
Jay Z Featuring Justin Timberlake,HOLY GRAIL,35,2014
Migos,FIGHT NIGHT,36,2014
Childish Gambino,V. 3005,37,2014
Drake,THE LANGUAGE,38,2014
Jay Z Featuring Beyonce,PART II (ON THE RUN),39,2014
Sage The Gemini Featuring IamSu!,GAS PEDAL,40,2014
Kendrick Lamar,I,41,2014
Tyga Featuring Young Thug,HOOKAH,42,2014
Eminem Featuring Nate Ruess,HEADLIGHTS,43,2014
Kanye West,BOUND 2,44,2014
Eminem,BERZERK,45,2014
Future Featuring Kanye West,I WON,46,2014
Eminem,SURVIVAL,47,2014
TeeFLii Featuring 2 Chainz,24 HOURS,48,2014
Flo Rida,RIGHT ROUND,19,2009
Soulja Boy Tell'em,TURN MY SWAG ON,20,2009
"Drake Featuring Kanye West, Lil Wayne & Eminem",FOREVER,21,2009
Gucci Mane Featuring Plies Or OJ Da Juiceman,WASTED,22,2009
Pitbull,HOTEL ROOM SERVICE,23,2009
New Boyz,YOU'RE A JERK,24,2009
Birdman Featuring Lil Wayne,ALWAYS STRAPPED,25,2009
Wiz Khalifa,"""WORK HARD, PLAY HARD""",17,2012
"""French Montana Featuring Rick Ross, Drake, Lil Wayne""",POP THAT,18,2012
Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,"""YOUNG, WILD & FREE""",19,2012
"""DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne""",TAKE IT TO THE HEAD,20,2012
Drake,HEADLINES,21,2012
Flo Rida,GOOD FEELING,22,2012
Young Jeezy Featuring Jay-Z & Andre 3000,I DO,23,2012
"""Wale Featuring Rick Ross, Meek Mill & T-Pain""",BAG OF MONEY,24,2012
Meek Mill Featuring Drake,AMEN,25,2012
Nicki Minaj Featuring Drake & Lil Wayne,TRUFFLE BUTTER,13,2015
Meek Mill Featuring Chris Brown & Nicki Minaj,ALL EYES ON YOU,14,2015
Big Sean Featuring Drake,BLESSINGS,15,2015
Rae Sremmurd,NO TYPE,16,2015
O.T. Genasis,COCO,17,2015
iLoveMemphis,HIT THE QUAN,18,2015
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",DOWNTOWN,19,2015
Drake,ENERGY,20,2015
Rae Sremmurd Featuring Nicki Minaj & Young Thug,THROW SUM MO,21,2015
Drake,BACK TO BACK,22,2015
Kid Ink Featuring DeJ Loaf,BE REAL,23,2015
Future Featuring Drake,WHERE YA AT,24,2015
Nicki Minaj Featuring Beyonce,FEELING MYSELF,25,2015
Fetty Wap,AGAIN,26,2015
Drake & Future,JUMPMAN,27,2015
Yo Gotti Featuring Nicki Minaj,DOWN IN THE DM,12,2016
Travis Scott,ANTIDOTE,13,2016
Drake Featuring The Throne,POP STYLE,14,2016
Fetty Wap Featuring Remy Boyz,679,15,2016
"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",ALL THE WAY UP,16,2016
Post Malone,WHITE IVERSON,17,2016
O.T. Genasis Featuring Young Dolph,CUT IT,18,2016
Future,WICKED,19,2016
Desiigner,TIIMMY TURNER,20,2016
Kevin Gates,REALLY REALLY,21,2016
Rae Sremmurd Featuring Gucci Mane,BLACK BEATLES,22,2016
Nicki Minaj,DID IT ON'EM,23,2011
YC Featuring Future,RACKS,24,2011
Jay Z Kanye West,NI**AS IN PARIS,25,2011
Rich Homie Quan Featuring Problem,WALK THRU,49,2014
Fergie,L.A.LOVE (LA LA),50,2014
Nicki Minaj,THE NIGHT IS STILL YOUNG,28,2015
Bobby Shmurda,HOT BOY,29,2015
Pitbull Featuring Chris Brown,FUN,30,2015
Future,COMMAS,31,2015
Drake,KNOW YOURSELF,32,2015
Iggy Azalea Featuring M0,BEG FOR IT,33,2015
"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",ALL DAY,34,2015
Rae Sremmurd,THIS COULD BE US,35,2015
Flo Rida Featuring Robin Thicke & Verdine White,"I DON'T LIKE IT, I LOVE IT",36,2015
K Camp,COMFORTABLE,37,2015
DeJ Loaf,TRY ME,38,2015
Travi$ Scott,ANTIDOTE,39,2015
Wale Featuring Usher,THE MATRIMONY,40,2015
Drake,SUMMER SIXTEEN,23,2016
DJ Khaled Featuring Jay Z & Future,I GOT THE KEYS,24,2016
Young Thug,BEST FRIEND,25,2016
Lil Uzi Vert,MONEY LONGER,26,2016
MadeinTYO,UBER EVERYWHERE,27,2016
Chance The Rapper Featuring Lil Wayne & 2 Chainz,NO PROBLEM,28,2016
ScHoolboy Q Featuring Kanye West,THAT PART,29,2016
Kanye West,FATHER STRETCH MY HANDS PT. 1,30,2016
Zay Hilfigerrr & Zayion McCall,JUJU ON THAT BEAT (TZ ANTHEM),31,2016
Rob $tone Featuring J. Davi$ & Spooks,CHILL BILL,32,2016
Young M.A,OOOUUU,33,2016
Fetty Wap,AGAIN,34,2016
Fergie,L.A.LOVE (LA LA),41,2015
Post Malone,WHITE IVERSON,42,2015
J. Cole,APPARENTLY,43,2015
J. Cole,WET DREAMZ,44,2015
Meek Mill Featuring Drake,R.I.C.O.,45,2015
Nicki Minaj,ANACONDA,46,2015
Drake,LEGEND,47,2015
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",HOW MANY TIMES,48,2015
Iggy Azalea Featuring Rita Ora,BLACK WIDOW,49,2015
Drake,10 BANDS,50,2015
DLOW,DO IT LIKE ME,35,2016
iLoveMemphis,HIT THE QUAN,36,2016
Young Thug And Travis Scott Featuring Quavo,PICK UP THE PHONE,37,2016
Wale,MY PYT,38,2016
Amine,CAROLINE,39,2016
Drake & Future,BIG RINGS,40,2016
Belly Featuring The Weeknd,MIGHT NOT,41,2016
Future Featuring Drake,WHERE YA AT,42,2016
Fetty Wap,WAKE UP,43,2016
Drake,CHILDS PLAY,44,2016
Missy Elliott Featuring Pharrell Williams,WTF (WHERE THEY FROM),45,2016
Lil Yachty,1 NIGHT,46,2016
Kid Ink Featuring Fetty Wap,PROMISE,47,2016
Dae Dae,"WAT U MEAN (AYE, AYE, AYE)",48,2016
Drake,HYPE,49,2016
DeJ Loaf Featuring Big Sean,BACK UP,50,2016
