artists,name,ranking,year
Eric Church,LOVE YOUR LOVE THE MOST,39,2009
Montgomery Gentry,ONE IN EVERY CROWD,40,2009
Luke Bryan,DO I,41,2009
Tim McGraw,NOTHIN' TO DIE FOR,42,2009
Billy Currington,DON'T,43,2009
Kenny Chesney With Dave Matthews,I'M ALIVE,44,2009
Carrie Underwood,COWBOY CASANOVA,45,2009
Alan Jackson,COUNTRY BOY,46,2009
Jack Ingram,BAREFOOT AND CRAZY,47,2009
Lady Antebellum,NEED YOU NOW,48,2009
David Nail,RED LIGHT,49,2009
Craig Morgan,BONFIRE,50,2009
Gloriana,WILD AT HEART,51,2009
Eli Young Band,ALWAYS THE LOVE SONGS,52,2009
Reba,STRANGE,53,2009
Toby Keith,LOST YOU ANYWAY,54,2009
Brad Paisley Duet With Keith Urban,START A BAND,55,2009
Martina McBride,RIDE,56,2009
Rascal Flatts,HERE,57,2009
Sugarland,ALREADY GONE,58,2009
Jason Michael Carroll,WHERE I'M FROM,59,2009
Zac Brown Band,CHICKEN FRIED,60,2009
Lee Brice,LOVE LIKE CRAZY,1,2010
Luke Bryan,RAIN IS A GOOD THING,2,2010
Josh Turner,WHY DON'T WE JUST DANCE,3,2010
Josh Turner,ALL OVER ME,4,2010
Chris Young,THE MAN I WANT TO BE,5,2010
Easton Corbin,ROLL WITH IT,6,2010
Joe Nichols,GIMMIE THAT GIRL,7,2010
Blake Shelton,ALL ABOUT TONIGHT,8,2010
Darius Rucker,COME BACK SONG,9,2010
Clay Walker,SHE WON'T BE LONELY LONG,10,2010
Miranda Lambert,THE HOUSE THAT BUILT ME,11,2010
Lady Antebellum,AMERICAN HONEY,12,2010
Keith Urban,'TIL SUMMER COMES AROUND,13,2010
Zac Brown Band,HIGHWAY 20 RIDE,14,2010
Steel Magnolia,KEEP ON LOVIN' YOU,15,2010
Jason Aldean,CRAZY TOWN,16,2010
Lady Antebellum,OUR KIND OF LOVE,17,2010
Brad Paisley,WATER,18,2010
Easton Corbin,A LITTLE MORE COUNTRY THAN THAT,19,2010
Rodney Atkins,FARMER'S DAUGHTER,20,2010
Keith Urban,I'M IN,21,2010
Jerrod Niemann,"LOVER, LOVER",22,2010
Little Big Town,LITTLE WHITE CHURCH,23,2010
Darius Rucker,HISTORY IN THE MAKING,24,2010
Carrie Underwood,TEMPORARY HOME,25,2010
Billy Currington,THAT'S HOW COUNTRY BOYS ROLL,26,2010
Uncle Kracker,SMILE,27,2010
Billy Currington,PRETTY GOOD AT DRINKIN' BEER,28,2010
Carrie Underwood,UNDO IT,29,2010
Sugarland,STUCK LIKE GLUE,30,2010
Blake Shelton Featuring Trace Adkins,HILLBILLY BONE,31,2010
Jason Aldean,THE TRUTH,32,2010
Kenny Chesney,AIN'T BACK YET,33,2010
Brad Paisley,AMERICAN SATURDAY NIGHT,34,2010
Kenny Chesney,THE BOYS OF FALL,35,2010
Zac Brown Band,FREE,36,2010
The Band Perry,IF I DIE YOUNG,37,2010
Taylor Swift,MINE,38,2010
Rascal Flatts,UNSTOPPABLE,39,2010
George Strait,I GOTTA GET TO YOU,40,2010
Justin Moore,BACKWOODS,41,2010
Reba,CONSIDER ME GONE,42,2010
Tim McGraw,SOUTHERN VOICE,43,2010
Dierks Bentley,I WANNA MAKE YOU CLOSE YOUR EYES,44,2010
Miranda Lambert,WHITE LIAR,45,2010
Zac Brown Band Featuring Alan Jackson,AS SHE'S WALKING AWAY,46,2010
Rascal Flatts,WHY WAIT,47,2010
Lady Antebellum,NEED YOU NOW,48,2010
Craig Morgan,THIS AIN'T NOTHIN',49,2010
George Strait,THE BREATH YOU TAKE,50,2010
Brad Paisley,ANYTHING LIKE ME,51,2010
Martina McBride,WRONG BABY WRONG,52,2010
Reba,I KEEP ON LOVING YOU,53,2010
Eric Church,HELL ON THE HEART,54,2010
Taylor Swift,FEARLESS,55,2010
Reba,TURN ON THE RADIO,56,2010
Toby Keith,CRYIN' FOR ME (WAYMAN'S SONG),57,2010
Josh Thompson,WAY OUT HERE,58,2010
Luke Bryan,DO I,59,2010
Justin Moore,HOW I GOT TO BE THIS WAY,60,2010
Eli Young Band,CRAZY GIRL,1,2011
Jake Owen,BAREFOOT BLUE JEAN NIGHT,2,2011
Rodney Atkins,TAKE A BACK ROAD,3,2011
Chris Young,TOMORROW,4,2011
The Band Perry,YOU LIE,5,2011
Dierks Bentley,AM I THE ONLY ONE,6,2011
Kenny Chesney Featuring Grace Potter,YOU AND TEQUILA,7,2011
Blake Shelton,HONEY BEE,8,2011
Trace Adkins,JUST FISHIN',9,2011
Billy Currington,LET ME DOWN EASY,10,2011
George Strait,HERE FOR A GOOD TIME,11,2011
Zac Brown Band Featuring Jimmy Buffett,KNEE DEEP,12,2011
Lady Antebellum,JUST A KISS,13,2011
Justin Moore,IF HEAVEN WASN'T SO FAR AWAY,14,2011
Toby Keith,MADE IN AMERICA,15,2011
Luke Bryan,COUNTRY GIRL (SHAKE IT FOR ME),16,2011
Miranda Lambert,HEART LIKE MINE,17,2011
Blake Shelton,GOD GAVE ME YOU,18,2011
Jason Aldean With Kelly Clarkson,DON'T YOU WANNA STAY,19,2011
Jerrod Niemann,WHAT DO YOU WANT,20,2011
Sara Evans,A LITTLE BIT STRONGER,21,2011
Keith Urban,LONG HOT SUMMER,22,2011
Darius Rucker,THIS,23,2011
Taylor Swift,MEAN,24,2011
Jason Aldean,DIRT ROAD ANTHEM,25,2011
Brad Paisley Duet With Carrie Underwood,REMIND ME,26,2011
Thompson Square,ARE YOU GONNA KISS ME OR NOT,27,2011
Rascal Flatts,I WON'T LET GO,28,2011
Keith Urban,WITHOUT YOU,29,2011
Brantley Gilbert,COUNTRY MUST BE COUNTRY WIDE,30,2011
Kenny Chesney,SOMEWHERE WITH YOU,31,2011
Blake Shelton,WHO ARE YOU WHEN I'M NOT LOOKING,32,2011
Luke Bryan,SOMEONE ELSE CALLING YOU BABY,33,2011
Brad Paisley,THIS IS COUNTRY MUSIC,34,2011
Chris Young,VOICES,35,2011
Thompson Square,I GOT YOU,36,2011
Taylor Swift,SPARKS FLY,37,2011
Taylor Swift,BACK TO DECEMBER,38,2011
Zac Brown Band,COLDER WEATHER,39,2011
Lady Antebellum,HELLO WORLD,40,2011
Brad Paisley Featuring Alabama,OLD ALABAMA,41,2011
Keith Urban,PUT YOU IN A SONG,42,2011
Tim McGraw,FELT GOOD ON MY LIPS,43,2011
Ronnie Dunn,BLEED RED,44,2011
Miranda Lambert,BAGGAGE CLAIM,45,2011
Kenny Chesney,LIVE A LITTLE,46,2011
Billy Currington,LOVE DONE GONE,47,2011
Jerrod Niemann,ONE MORE DRINKIN' SONG,48,2011
Craig Campbell,FAMILY MAN,49,2011
Carrie Underwood,MAMA'S SONG,50,2011
David Nail,LET IT RAIN,51,2011
Eric Church,HOMEBOY,52,2011
Jason Aldean,MY KINDA PARTY,53,2011
Rascal Flatts Featuring Natasha Bedingfield,EASY,54,2011
Sugarland,LITTLE MISS,55,2011
Lady Antebellum,WE OWNED THE NIGHT,56,2011
Easton Corbin,I CAN'T LOVE YOU BACK,57,2011
Darius Rucker,I GOT NOTHIN',58,2011
Sunny Sweeney,FROM A TABLE AWAY,59,2011
Steve Holy,LOVE DON'T RUN,60,2011
Reba,TURN ON THE RADIO,61,2011
Toby Keith,SOMEWHERE ELSE,62,2011
Scotty McCreery,I LOVE YOU THIS BIG,63,2011
Jason Aldean,TATTOOS ON THIS TOWN,64,2011
Ronnie Dunn,COST OF LIVIN',65,2011
Rascal Flatts,WHY WAIT,66,2011
Josh Turner,I WOULDN'T BE A MAN,67,2011
George Strait,THE BREATH YOU TAKE,68,2011
Toby Keith,BULLETS IN THE GUN,69,2011
Joe Nichols,THE SHAPE I'M IN,70,2011
The JaneDear Girls,WILDFLOWER,71,2011
Zac Brown Band,KEEP ME IN MIND,72,2011
Eric Church,DRINK IN MY HAND,73,2011
The Band Perry,ALL YOUR LIFE,74,2011
Ashton Shepherd,LOOK IT UP,75,2011
Zac Brown Band Featuring Alan Jackson,AS SHE'S WALKING AWAY,76,2011
Martina McBride,TEENAGE DAUGHTERS,77,2011
Josh Kelley,GEORGIA CLAY,78,2011
Eric Church,SMOKE A LITTLE SMOKE,79,2011
Hunter Hayes,STORM WARNING,80,2011
Craig Campbell,FISH,81,2011
The Band Perry,IF I DIE YOUNG,82,2011
Edens Edge,AMEN,83,2011
Brett Eldredge,RAYMOND,84,2011
James Wesley,REAL,85,2011
Alan Jackson,LONG WAY TO GO,86,2011
Luke Bryan,I DON'T WANT THIS NIGHT TO END,87,2011
Joe Nichols,TAKE IT OFF,88,2011
Josh Thompson,WON'T BE LONELY LONG,89,2011
Brad Paisley,ANYTHING LIKE ME,90,2011
James Wesley,DIDN'T I,91,2011
Steel Magnolia,LAST NIGHT AGAIN,92,2011
Martina McBride,I'M GONNA LOVE YOU THROUGH IT,93,2011
Sara Evans,MY HEART CAN'T TELL YOU NO,94,2011
Chris Young,YOU,95,2011
Miranda Lambert,ONLY PRETTIER,96,2011
Rodney Atkins,FARMER'S DAUGHTER,97,2011
Justin Moore,BAIT A HOOK,98,2011
Clay Walker,WHERE DO I GO FROM YOU,99,2011
Josh Turner,TIME IS LOVE,1,2012
Brantley Gilbert,YOU DON'T KNOW HER LIKE I DO,2,2012
Jana Kramer,WHY YA WANNA,3,2012
Dustin Lynch,COWBOYS AND ANGELS,4,2012
Gloriana,(KISSED YOU) GOOD NIGHT,5,2012
Tim McGraw,BETTER THAN I USED TO BE,6,2012
Eli Young Band,EVEN IF IT BREAKS YOUR HEART,7,2012
Easton Corbin,LOVIN' YOU IS FUN,8,2012
Eric Church,SPRINGSTEEN,9,2012
Luke Bryan,DRUNK ON YOU,10,2012
Chris Young,YOU,11,2012
Kip Moore,SOMETHIN' 'BOUT A TRUCK,12,2012
Kenny Chesney,REALITY,13,2012
Jake Owen,ALONE WITH YOU,14,2012
Miranda Lambert,OVER YOU,15,2012
Dierks Bentley,HOME,16,2012
Luke Bryan,I DON'T WANT THIS NIGHT TO END,17,2012
Lee Brice,HARD TO LOVE,18,2012
Lady Antebellum,DANCIN' AWAY WITH MY HEART,19,2012
Hunter Hayes,WANTED,20,2012
Love And Theft,ANGEL EYES,21,2012
Lee Brice,A WOMAN LIKE YOU,22,2012
Keith Urban,YOU GONNA FLY,23,2012
Zac Brown Band,NO HURRY,24,2012
The Band Perry,ALL YOUR LIFE,25,2012
Jason Aldean,FLY OVER STATES,26,2012
Carrie Underwood,GOOD GIRL,27,2012
Miranda Lambert,FASTEST GIRL IN TOWN,28,2012
Blake Shelton,DRINK ON IT,29,2012
The Band Perry,POSTCARD FROM PARIS,30,2012
Jason Aldean,TAKE A LITTLE RIDE,31,2012
Carrie Underwood,BLOWN AWAY,32,2012
Rascal Flatts,BANJO,33,2012
Keith Urban,FOR YOU,34,2012
Kenny Chesney,COME OVER,35,2012
Blake Shelton,OVER,36,2012
Taylor Swift,OURS,37,2012
Zac Brown Band,KEEP ME IN MIND,38,2012
Jake Owen,THE ONE THAT GOT AWAY,39,2012
Dierks Bentley,5-1-5-0,40,2012
Little Big Town,PONTOON,41,2012
George Strait,LOVE'S GONNA MAKE IT ALRIGHT,42,2012
Rascal Flatts,COME WAKE ME UP,43,2012
Eric Church,DRINK IN MY HAND,44,2012
Martina McBride,I'M GONNA LOVE YOU THROUGH IT,45,2012
Montgomery Gentry,WHERE I COME FROM,46,2012
Toby Keith,BEERS AGO,47,2012
Luke Bryan,KISS TOMORROW GOODBYE,48,2012
Jason Aldean,TATTOOS ON THIS TOWN,49,2012
David Nail Featuring Sarah Buxton,LET IT RAIN,50,2012
Tim McGraw,TRUCK YEAH,51,2012
Justin Moore,TIL MY LAST DAY,52,2012
Toby Keith,RED SOLO CUP,53,2012
Greg Bates,DID IT FOR THE GIRL,54,2012
Craig Morgan,THIS OLE BOY,55,2012
Chris Cagle,GOT MY COUNTRY ON,56,2012
Rascal Flatts Featuring Natasha Bedingfield,EASY,57,2012
Big & Rich,THAT'S WHY I PRAY,58,2012
Kip Moore,BEER MONEY,59,2012
Zac Brown Band,THE WIND,60,2012
Lady Antebellum,WE OWNED THE NIGHT,61,2012
Thompson Square,GLASS,62,2012
Eric Church,CREEPIN',63,2012
Brad Paisley,CAMOUFLAGE,64,2012
Florida Georgia Line,CRUISE,65,2012
Hunter Hayes,STORM WARNING,66,2012
Jerrod Niemann,SHININ' ON ME,67,2012
THE FARM,HOME SWEET HOME,68,2012
Thomas Rhett,SOMETHING TO DO WITH MY HANDS,69,2012
Randy Houser,HOW COUNTRY FEELS,70,2012
Scotty McCreery,THE TROUBLE WITH GIRLS,71,2012
Lady Antebellum,WANTED YOU MORE,72,2012
Justin Moore,BAIT A HOOK,73,2012
Toby Keith,I LIKE GIRLS THAT DRINK BEER,74,2012
Kenny Chesney & Tim McGraw,FEEL LIKE A ROCK STAR,75,2012
Casey James,LET'S DON'T CALL IT A NIGHT,76,2012
Casey James,CRYING ON A SUITCASE,77,2012
Edens Edge,AMEN,78,2012
Kenny Chesney,EL CERRITO PLACE,79,2012
Chris Young,NEON,80,2012
Miranda Lambert,BAGGAGE CLAIM,81,2012
Brad Paisley,SOUTHERN COMFORT ZONE,82,2012
Andy Gibson,WANNA MAKE YOU LOVE ME,83,2012
Jon Pardi,MISSIN' YOU CRAZY,84,2012
Alan Jackson,SO YOU DON'T HAVE TO LOVE ME ANYMORE,85,2012
Taylor Swift,WE ARE NEVER EVER GETTING BACK TOGETHER,86,2012
Darius Rucker,TRUE BELIEVERS,87,2012
Zac Brown Band,GOODBYE IN HER EYES,88,2012
Brantley Gilbert,COUNTRY MUST BE COUNTRY WIDE,89,2012
Sara Evans,MY HEART CAN'T TELL YOU NO,90,2012
Kelly Clarkson,MR. KNOW IT ALL,91,2012
Blake Shelton,GOD GAVE ME YOU,92,2012
Rodney Atkins,HE'S MINE,93,2012
Edens Edge,TOO GOOD TO BE TRUE,94,2012
Kristen Kelly,EX-OLD MAN,95,2012
Dierks Bentley,TIP IT ON BACK,96,2012
Josh Thompson,COMIN' AROUND,97,2012
Billy Currington,LIKE MY DOG,98,2012
Thompson Square,I GOT YOU,99,2012
Florida Georgia Line,CRUISE,1,2013
Darius Rucker,WAGON WHEEL,2,2013
Blake Shelton Featuring Pistol Annies & Friends,BOYS 'ROUND HERE,3,2013
Luke Bryan,CRASH MY PARTY,4,2013
Hunter Hayes,I WANT CRAZY,5,2013
Tim McGraw With Taylor Swift,HIGHWAY DON'T CARE,6,2013
Florida Georgia Line,GET YOUR SHINE ON,7,2013
Miranda Lambert,MAMA'S BROKEN HEART,8,2013
Blake Shelton,SURE BE COOL IF YOU DID,9,2013
Randy Houser,RUNNIN' OUTTA MOONLIGHT,10,2013
Luke Bryan,THAT'S MY KIND OF NIGHT,11,2013
The Band Perry,BETTER DIG TWO,12,2013
Thomas Rhett,IT GOES LIKE THIS,13,2013
Taylor Swift,WE ARE NEVER EVER GETTING BACK TOGETHER,14,2013
Tyler Farr,REDNECK CRAZY,15,2013
Florida Georgia Line,ROUND HERE,16,2013
Hunter Hayes,WANTED,17,2013
Lady Antebellum,DOWNTOWN,18,2013
Billy Currington,HEY GIRL,19,2013
Brett Eldredge,DON'T YA,20,2013
The Band Perry,DONE.,21,2013
Jason Aldean,NIGHT TRAIN,22,2013
Kip Moore,HEY PRETTY GIRL,23,2013
Gary Allan,EVERY STORM (RUNS OUT OF RAIN),24,2013
Easton Corbin,ALL OVER THE ROAD,25,2013
Carrie Underwood,SEE YOU AGAIN,26,2013
George Strait,GIVE IT ALL WE GOT TONIGHT,27,2013
Hunter Hayes,SOMEBODY'S HEARTBREAK,28,2013
Carrie Underwood,TWO BLACK CADILLACS,29,2013
Jake Owen,ANYWHERE WITH YOU,30,2013
Keith Urban,LITTLE BIT OF EVERYTHING,31,2013
Chris Young,AW NAW,32,2013
Thompson Square,IF I DIDN'T HAVE YOU,33,2013
Kenny Chesney,PIRATE FLAG,34,2013
Blake Shelton,MINE WOULD BE YOU,35,2013
Brad Paisley,BEAT THIS SUMMER,36,2013
Tim McGraw,ONE OF THOSE NIGHTS,37,2013
Lee Brice,I DRIVE YOUR TRUCK,38,2013
Justin Moore,POINT AT YOU,39,2013
Lee Brice,PARKING LOT PARTY,40,2013
